epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,472.421,0.89608,1.2739,1.2261,0.65623,0.85714,0.74492,0.40601,1.38472,2.85518,2.26306,0.0011684,0.0011684,0.0011684
44,482.328,1.13847,1.40676,1.42378,0.8707,0.96562,0.9775,0.53865,1.164,2.36941,1.65464,0.0011486,0.0011486,0.0011486
45,493.058,0.85644,1.14596,1.20299,0.8707,0.96562,0.9775,0.53865,1.164,2.36941,1.65464,0.0011288,0.0011288,0.0011288
46,502.846,0.90136,1.3157,1.40837,0.8707,0.96562,0.9775,0.53865,1.164,2.36941,1.65464,0.001109,0.001109,0.001109
47,512.544,0.86649,0.99679,1.15202,0.64431,0.85714,0.82033,0.56854,1.11089,2.67586,1.57901,0.0010892,0.0010892,0.0010892
48,522.346,0.87961,1.08833,1.24639,0.64431,0.85714,0.82033,0.56854,1.11089,2.67586,1.57901,0.0010694,0.0010694,0.0010694
49,532.009,0.93577,1.2476,1.25616,0.81834,0.65001,0.66362,0.41092,1.35858,3.05792,1.67889,0.0010496,0.0010496,0.0010496
50,541.742,0.94314,1.19182,1.27915,0.81834,0.65001,0.66362,0.41092,1.35858,3.05792,1.67889,0.0010298,0.0010298,0.0010298
51,551.314,1.09122,1.31817,1.53773,0.81834,0.65001,0.66362,0.41092,1.35858,3.05792,1.67889,0.00101,0.00101,0.00101
52,561.02,0.82411,1.01428,1.0798,0.74537,0.83863,0.82955,0.57548,1.20329,2.58684,1.56743,0.0009902,0.0009902,0.0009902
53,570.702,0.82084,1.03381,1.14394,0.74537,0.83863,0.82955,0.57548,1.20329,2.58684,1.56743,0.0009704,0.0009704,0.0009704
54,580.33,1.07863,1.14891,1.47508,0.74537,0.83863,0.82955,0.57548,1.20329,2.58684,1.56743,0.0009506,0.0009506,0.0009506
55,590.019,0.97036,1.12209,1.25466,0.69004,0.85714,0.86667,0.53464,1.33989,2.35097,1.72547,0.0009308,0.0009308,0.0009308
56,599.712,0.94403,0.98966,1.29515,0.69004,0.85714,0.86667,0.53464,1.33989,2.35097,1.72547,0.000911,0.000911,0.000911
57,609.447,0.95372,0.97738,1.18614,1,0.94481,0.995,0.56037,1.49739,2.07405,1.7934,0.0008912,0.0008912,0.0008912
58,619.266,0.94705,1.12869,1.29252,1,0.94481,0.995,0.56037,1.49739,2.07405,1.7934,0.0008714,0.0008714,0.0008714
59,628.921,1.06942,1.40384,1.31363,1,0.94481,0.995,0.56037,1.49739,2.07405,1.7934,0.0008516,0.0008516,0.0008516
60,638.611,1.06048,1.95407,1.29205,1,0.85572,0.9775,0.494,1.61061,2.11976,1.92449,0.0008318,0.0008318,0.0008318
61,648.835,0.90022,0.92784,1.17554,1,0.85572,0.9775,0.494,1.61061,2.11976,1.92449,0.000812,0.000812,0.000812
62,659.318,1.08385,1.16203,1.27864,1,0.85572,0.9775,0.494,1.61061,2.11976,1.92449,0.0007922,0.0007922,0.0007922
63,669.772,0.89358,1.0617,1.25225,1,0.97108,0.995,0.47907,1.57374,2.16054,1.91881,0.0007724,0.0007724,0.0007724
64,680.214,0.86368,1.3677,1.27454,1,0.97108,0.995,0.47907,1.57374,2.16054,1.91881,0.0007526,0.0007526,0.0007526
65,690.352,0.86929,1.10748,1.21629,0.98207,1,0.995,0.53081,1.49517,2.07094,1.83752,0.0007328,0.0007328,0.0007328
66,700.136,1.00282,1.48182,1.29309,0.98207,1,0.995,0.53081,1.49517,2.07094,1.83752,0.000713,0.000713,0.000713
67,709.848,0.90594,1.01816,1.22569,0.98207,1,0.995,0.53081,1.49517,2.07094,1.83752,0.0006932,0.0006932,0.0006932
68,719.694,0.83385,0.99999,1.21437,1,0.9936,0.995,0.4869,1.37716,2.08916,1.70786,0.0006734,0.0006734,0.0006734
69,729.462,0.98293,1.17161,1.32571,1,0.9936,0.995,0.4869,1.37716,2.08916,1.70786,0.0006536,0.0006536,0.0006536
70,739.327,0.71146,0.83771,1.10045,1,0.9936,0.995,0.4869,1.37716,2.08916,1.70786,0.0006338,0.0006338,0.0006338
71,749.278,0.92404,1.11281,1.23513,0.98806,1,0.995,0.49607,1.38681,1.83195,1.78831,0.000614,0.000614,0.000614
72,759.003,0.89253,1.06685,1.21558,0.98806,1,0.995,0.49607,1.38681,1.83195,1.78831,0.0005942,0.0005942,0.0005942
73,768.804,0.96653,1.04702,1.30275,0.99302,1,0.995,0.51925,1.45629,1.59941,1.89059,0.0005744,0.0005744,0.0005744
74,778.572,0.86956,1.08199,1.23466,0.99302,1,0.995,0.51925,1.45629,1.59941,1.89059,0.0005546,0.0005546,0.0005546
75,788.369,0.91985,0.9889,1.22031,0.99302,1,0.995,0.51925,1.45629,1.59941,1.89059,0.0005348,0.0005348,0.0005348
76,800.431,0.75323,0.92155,1.15676,0.99499,1,0.995,0.53401,1.46955,1.5734,1.93245,0.000515,0.000515,0.000515
77,1801.03,0.85264,1.05355,1.18832,0.99499,1,0.995,0.53401,1.46955,1.5734,1.93245,0.0004952,0.0004952,0.0004952
78,1814.47,0.84669,1.01483,1.25695,0.99499,1,0.995,0.53401,1.46955,1.5734,1.93245,0.0004754,0.0004754,0.0004754
79,1825.16,0.64231,0.77846,1.01621,0.99881,1,0.995,0.54093,1.46775,1.45562,1.99861,0.0004556,0.0004556,0.0004556
80,1835.28,0.80563,1.01178,1.22031,0.99881,1,0.995,0.54093,1.46775,1.45562,1.99861,0.0004358,0.0004358,0.0004358
81,1845.41,0.85265,1.11591,1.27923,1,0.99945,0.995,0.53597,1.46364,1.39174,2.01685,0.000416,0.000416,0.000416
82,1855.28,0.9197,0.94656,1.19048,1,0.99945,0.995,0.53597,1.46364,1.39174,2.01685,0.0003962,0.0003962,0.0003962
83,1865.14,0.70728,0.9312,1.07662,1,0.99945,0.995,0.53597,1.46364,1.39174,2.01685,0.0003764,0.0003764,0.0003764
84,1875.02,0.77694,0.89787,1.09894,1,0.99661,0.995,0.53482,1.36954,1.4203,1.89752,0.0003566,0.0003566,0.0003566
85,1884.75,0.78558,0.85625,1.09439,1,0.99661,0.995,0.53482,1.36954,1.4203,1.89752,0.0003368,0.0003368,0.0003368
86,1894.44,0.71989,0.84088,1.13466,1,0.99661,0.995,0.53482,1.36954,1.4203,1.89752,0.000317,0.000317,0.000317
87,1904.14,0.7685,0.91453,1.1184,1,0.99421,0.995,0.55012,1.34478,1.45228,1.86885,0.0002972,0.0002972,0.0002972
88,1913.83,0.65348,0.87523,1.11524,1,0.99421,0.995,0.55012,1.34478,1.45228,1.86885,0.0002774,0.0002774,0.0002774
89,1923.57,0.76937,0.91488,1.14442,0.87431,0.99452,0.9775,0.55396,1.35365,1.45607,1.91975,0.0002576,0.0002576,0.0002576
90,1933.03,0.80872,0.93749,1.1464,0.87431,0.99452,0.9775,0.55396,1.35365,1.45607,1.91975,0.0002378,0.0002378,0.0002378
91,1942.66,0.65344,1.09752,1.10152,0.87431,0.99452,0.9775,0.55396,1.35365,1.45607,1.91975,0.000218,0.000218,0.000218
92,1952.27,0.61928,1.22773,1.11965,0.87412,0.99297,0.9775,0.52143,1.38678,1.51451,2.00763,0.0001982,0.0001982,0.0001982
93,1961.72,0.65235,1.13975,1.10794,0.87412,0.99297,0.9775,0.52143,1.38678,1.51451,2.00763,0.0001784,0.0001784,0.0001784
94,1971.16,0.55165,1.1813,1.0502,0.87412,0.99297,0.9775,0.52143,1.38678,1.51451,2.00763,0.0001586,0.0001586,0.0001586
95,1980.74,0.53274,0.9529,1.02567,1,0.99319,0.995,0.47712,1.41897,1.49087,2.01551,0.0001388,0.0001388,0.0001388
96,1990.06,0.77738,1.12917,1.14564,1,0.99319,0.995,0.47712,1.41897,1.49087,2.01551,0.000119,0.000119,0.000119
97,1999.4,0.56597,1.16358,1.15342,1,0.99402,0.995,0.50821,1.3346,1.4843,1.8644,9.92e-05,9.92e-05,9.92e-05
98,2008.71,0.75106,1.27093,1.3768,1,0.99402,0.995,0.50821,1.3346,1.4843,1.8644,7.94e-05,7.94e-05,7.94e-05
99,2018.01,0.53601,1.04653,1.00438,1,0.99402,0.995,0.50821,1.3346,1.4843,1.8644,5.96e-05,5.96e-05,5.96e-05
100,2027.41,0.54961,0.97395,1.02209,1,0.994,0.995,0.52857,1.37917,1.44858,1.95266,3.98e-05,3.98e-05,3.98e-05
